File,Size,BlockSize,CompressionRatio,Time,Memory
alice29.txt,152089,900000,68.74,0.026,4888
asyoulik.txt,125179,900000,65.14,0.027,4400
bib,111261,900000,72.82,0.018,4068
book1,768771,900000,66.53,0.209,18120
book2,610856,900000,71.46,0.136,14716
cp.html,24603,900000,65.1,0.005,2304
dickens,10192446,900000,69.36,4.159,35120
fields.c,11150,900000,67.1,0.003,1920
geo,102400,900000,37.54,0.019,3868
grammar.lsp,3721,900000,52.0,0.004,1792
kennedy.xls,1029744,900000,82.05,0.109,21076
large_binary.bin,10485760,900000,-0.8,1.993,32084
large_text.txt,11572073,900000,69.22,4.591,36672
lcet10.txt,426754,900000,72.01,0.081,10652
mozilla,51220480,900000,62.29,12.353,72692
mr,9970564,900000,72.07,1.082,28760
nci,33553445,900000,93.5,10.517,58832
news,377109,900000,65.5,0.089,9568
obj1,21504,900000,46.8,0.005,2176
obj2,246814,900000,66.54,0.054,6928
ooffice,6152192,900000,49.85,2.422,29192
osdb,10085684,900000,69.49,1.977,35064
paper1,53161,900000,65.62,0.011,2816
paper2,82199,900000,66.52,0.018,3420
paper3,46526,900000,62.46,0.009,2688
paper4,13286,900000,55.19,0.004,2048
paper5,11954,900000,53.49,0.004,1920
paper6,38105,900000,64.11,0.01,2560
pic,513216,900000,89.73,0.033,4720
plrabn12.txt,481861,900000,66.41,0.098,12024
progc,39611,900000,64.99,0.008,2560
progl,71646,900000,75.56,0.018,3240
progp,49379,900000,75.46,0.012,2688
ptt5,513216,900000,89.73,0.033,4660
reymont,6627202,900000,78.34,1.733,31832
samba,21606400,900000,76.27,7.412,46184
sao,7251944,900000,25.83,1.55,32060
sum,38240,900000,62.52,0.008,2560
trans,93695,900000,78.48,0.02,3624
webster,41458703,900000,76.67,13.472,65884
x-ray,8474240,900000,45.65,0.889,30056
xargs.1,4227,900000,46.16,0.003,1792
xml,5345280,900000,90.45,1.879,29792
