File,Size,BlockSize,CompressionRatio,Time,Memory,CompressedSize,RefCompressionRatio,Speed_MBps,RefSpeed_MBps,Score
alice29.txt,152089,900000,68.74,0.026,4888,47536,71.59,5.893,9.604,0.8275
asyoulik.txt,125179,900000,65.14,0.027,4400,43636,68.39,4.708,10.748,0.7439
bib,111261,900000,72.82,0.018,4068,30240,75.31,6.019,9.858,0.8224
book1,768771,900000,66.53,0.209,18120,257292,69.74,3.677,11.785,0.6801
book2,610856,900000,71.46,0.136,14716,174310,74.23,4.479,12.144,0.7038
cp.html,24603,900000,65.1,0.005,2304,8586,69.01,4.904,5.454,0.9796
dickens,10192446,900000,69.36,4.159,35120,3123290,72.53,2.451,12.294,0.6225
fields.c,11150,900000,67.1,0.003,1920,3668,72.74,3.242,3.758,0.9734
geo,102400,900000,37.54,0.019,3868,63956,44.41,5.471,8.083,0.9299
grammar.lsp,3721,900000,52.0,0.004,1792,1786,65.52,1.039,1.866,0.9084
kennedy.xls,1029744,900000,82.05,0.109,21076,184790,87.35,9.467,19.014,0.7812
large_binary.bin,10485760,900000,-0.8,1.993,32084,10569442,-0.45,5.261,9.11,
large_text.txt,11572073,900000,69.22,4.591,36672,3561634,72.39,2.52,12.332,0.6251
lcet10.txt,426754,900000,72.01,0.081,10652,119452,74.76,5.237,12.252,0.7328
mozilla,51220480,900000,62.29,12.353,72692,19313460,65.02,4.146,14.342,0.6664
mr,9970564,900000,72.07,1.082,28760,2784920,75.52,9.217,18.187,0.7773
nci,33553445,900000,93.5,10.517,58832,2182164,94.6,3.191,7.748,0.7118
news,377109,900000,65.5,0.089,9568,130112,68.55,4.215,12.002,0.6989
obj1,21504,900000,46.8,0.005,2176,11440,49.84,4.287,5.034,0.9582
obj2,246814,900000,66.54,0.054,6928,82592,69.03,4.531,12.712,0.697
ooffice,6152192,900000,49.85,2.422,29192,3085540,53.47,2.54,12.968,0.6343
osdb,10085684,900000,69.49,1.977,35064,3077534,72.21,5.101,13.35,0.7107
paper1,53161,900000,65.62,0.011,2816,18278,68.85,5.011,6.419,0.915
paper2,82199,900000,66.52,0.018,3420,27524,69.54,4.548,8.728,0.7833
paper3,46526,900000,62.46,0.009,2688,17464,65.96,5.217,7.264,0.8871
paper4,13286,900000,55.19,0.004,2048,5954,60.95,3.123,3.983,0.9443
paper5,11954,900000,53.49,0.004,1920,5560,59.54,3.136,3.283,1.0342
paper6,38105,900000,64.11,0.01,2560,13676,67.74,3.825,7.009,0.8012
pic,513216,900000,89.73,0.033,4720,52700,90.3,15.716,36.639,0.7176
plrabn12.txt,481861,900000,66.41,0.098,12024,161836,69.79,4.904,11.704,0.7349
progc,39611,900000,64.99,0.008,2560,13866,68.33,4.76,7.782,0.8315
progl,71646,900000,75.56,0.018,3240,17508,78.26,3.96,7.732,0.774
progp,49379,900000,75.46,0.012,2688,12118,78.31,4.263,8.291,0.776
ptt5,513216,900000,89.73,0.033,4660,52700,90.3,15.592,39.159,0.7022
reymont,6627202,900000,78.34,1.733,31832,1435358,81.2,3.824,13.479,0.6601
samba,21606400,900000,76.27,7.412,46184,5126826,78.94,2.915,13.92,0.6222
sao,7251944,900000,25.83,1.55,32060,5378574,31.87,4.678,8.936,0.8786
sum,38240,900000,62.52,0.008,2560,14334,66.24,4.825,6.384,0.9077
trans,93695,900000,78.48,0.02,3624,20164,80.9,4.574,8.189,0.7947
webster,41458703,900000,76.67,13.472,65884,9674266,79.15,3.077,11.386,0.6513
x-ray,8474240,900000,45.65,0.889,30056,4605910,52.19,9.535,13.582,0.9227
xargs.1,4227,900000,46.16,0.003,1792,2276,58.32,1.236,1.761,0.9826
xml,5345280,900000,90.45,1.879,29792,510246,91.75,2.845,9.336,0.6596
